"district","conservativenessRepresentative","republicanRepresentative","blackDistrictPop","districtMedianIncome","districtHS","districtBachelors"
"109","FL.7",0.631,1,9.5,50780,88.7,29.5
"110","FL.8",0.685,1,10.3,50497,87.7,28.7
"111","FL.9",0.491,1,5.6,51187,88.3,29
"112","GA.1",0.676,1,25.4,42820,82.6,19.8
"113","GA.10",0.793,1,19.5,42650,81.9,25.7
"114","GA.11",0.694,1,15.2,52806,82.3,25.5
"115","GA.12",-0.053,0,44.3,36381,81.4,17.3
"116","GA.13",-0.228,0,55.7,49989,85.1,26.2
"117","GA.2",-0.245,0,48.7,33992,76.9,13.8
"118","GA.3",-0.117,0,24.1,56465,86.4,25.9
"119","GA.4",-0.527,0,56.5,47403,83.9,27.8
"120","GA.5",-0.547,0,50.3,47038,87.3,43.9
"121","GA.6",0.843,1,9.7,79360,94.3,52.8
"122","GA.7",0.801,1,21.2,64239,88.8,33
"123","GA.8",0.811,1,34.6,42679,81.8,16.9
"124","GA.9",0.737,1,3.4,48148,80.5,22.4
"125","HI.1",-0.379,0,1.8,67708,89.6,33.7
"126","HI.2",-0.152,0,1.4,65174,90.2,25.4
"127","IA.1",0.551,1,4.4,47462,90.5,24.4
"128","IA.2",0.263,1,2.9,48754,90.9,29.1
"129","IA.3",-0.215,0,4,53638,91.1,27.1
"130","IA.4",0.487,1,1.2,48412,91.6,25.2
"131","IA.5",0.78,1,1.1,45998,88.7,18.5
"132","ID.1",0.867,1,0.5,47651,88.9,23.6
"133","ID.2",0.452,1,0.6,45101,87.6,25.3
"134","IL.1",-0.434,0,63.9,41675,84.6,23.2
"135","IL.10",0.628,1,4.9,82407,90.8,52.5
"136","IL.11",0.54,1,8.5,59225,89.5,22.7
"137","IL.12",-0.345,0,17.3,43348,86.4,20.9
"138","IL.13",0.655,1,6.4,83475,93.7,45.6
"139","IL.14",0.609,1,5.2,66411,86,30.6
"140","IL.15",0.627,1,6.8,46640,89.2,27.3
"141","IL.16",0.718,1,6.2,56170,87.9,23.8
"142","IL.17",-0.408,0,8.1,41182,86.8,17.9
"143","IL.18",0.422,1,7.5,51738,90.5,25
"144","IL.19",0.575,1,3.5,48938,89.7,21
"145","IL.2",-0.506,0,68.5,45454,85.1,20.6
"146","IL.3",-0.246,0,6.8,56455,82.4,24.7
"147","IL.4",-0.469,0,5,42881,66.8,23.2
"148","IL.5",-0.332,0,3.1,60153,84.9,40.3
"149","IL.6",0.457,1,3.4,70644,88.2,38.3
"150","IL.7",-0.47,0,53.1,51176,84.6,41.2
"151","IL.8",-0.17,0,4,73854,90.2,36.2
"152","IL.9",-0.566,0,10.2,55591,87.2,44.6
"153","IN.1",-0.396,0,18.6,51246,88.3,21.3
"154","IN.2",0.792,1,8.8,44031,85.7,19.1
"155","IN.3",0.641,1,5.9,49110,85.8,21.6
"156","IN.4",0.594,1,3,54365,90.7,27.4
"157","IN.5",0.75,1,3.8,60894,91.9,35.4
"158","IN.6",0.845,1,3.6,43920,86.7,17.8
"159","IN.7",-0.432,0,32.2,38300,80.7,21.5
